gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation
b3370,-0.07042867549999995,-0.1363252485,-0.06589657300000004,0.8489456896341914,0.07112009237869878,ns
b3478,0.160436611,0.11337596550000004,-0.04706064549999997,0.8501265092953897,0.07051644110847226,ns
b0134,-0.03710415900000004,-0.0600362319999998,-0.02293207299999976,0.8501550803009224,0.07050184560838291,ns
b0317,1.0266609645000002,0.9500504620000001,-0.07661050250000012,0.851490016702938,0.06982043955838785,ns
b3066,-0.4387694890000011,-0.45458432300000107,-0.015814833999999944,0.8519226337607284,0.0695998433276812,ns
b2540,0.03977986150000021,0.12855386750000042,0.08877400600000021,0.8519927044070432,0.0695641240705404,ns
b1893,-0.23289985050000017,-0.3365987220000002,-0.10369887150000001,0.8525755629117323,0.06926711954800448,ns
b4044,-0.17709218749999994,-0.19924530800000004,-0.022153120500000095,0.8526188554179746,0.06924506728654889,ns
b2977,0.5022239945000004,0.5408130305000007,0.0385890360000003,0.852823873808366,0.06914065058050682,ns
b4267,0.1049014240000001,0.04289493800000015,-0.06200648599999995,0.8540021640755264,0.06854102879007135,ns
b1393,0.08275462400000001,0.14460700750000008,0.061852383500000066,0.8540696277518297,0.06850672214967972,ns
b2767,-0.8027090905,-0.8849434405000001,-0.08223435000000001,0.8550937555106068,0.067986265074614,ns
b1888,-0.33259988699999954,-0.3029688409999997,0.029631045999999828,0.8551137754457079,0.06797609724739367,ns
b2480,-0.567553117500001,-0.5443455605000009,0.0232075570000001,0.8570689991181965,0.06698421339764304,ns
b0431,0.25892251500000096,0.27047105000000027,0.011548534999999305,0.8579924599903499,0.0665165287002141,ns
b3861,0.3545096225000003,0.44190935750000027,0.08739973499999998,0.8580122034354202,0.06650653517347037,ns
b0391,-0.8510510705000018,-0.8823958170000008,-0.031344746499998966,0.8581155130030567,0.06645424678633371,ns
b0412,0.05185622200000009,0.0832063035000003,0.03135008150000021,0.8583040580541887,0.06635883412965357,ns
b0885,-0.2010371619999995,-0.1806149169999993,0.0204222450000002,0.8584807390937232,0.0662694442411537,ns
b2595,-0.27229631649999847,-0.261562335999999,0.010733980499999463,0.8596015289254916,0.06570282072443594,ns
b0076,0.33495823199999974,0.3738814289999999,0.03892319700000013,0.8598537346086823,0.06557541812243425,ns
b3649,0.245327005,0.26287109949999987,0.017544094499999885,0.8603168532410259,0.06534156937188168,ns
b0438,-0.29273448400000035,-0.3109572705000003,-0.018222786499999977,0.8603842087886097,0.0653075691108234,ns
b4710,-0.41833057549999997,-0.34445387800000005,0.07387669749999992,0.8605023807845138,0.06524792375577411,ns
b4543,-0.49841410500000016,-0.5507132024999999,-0.052299097499999725,0.8608529943418187,0.065071005569647,ns
b2722,-0.13403330200000005,-0.10616840350000001,0.02786489850000004,0.8618058564615567,0.06459055895930628,ns
b4161,0.21637015549999944,0.2313517364999997,0.014981581000000271,0.8628081751637121,0.06408574858146694,ns
b2122,-0.2452085600000001,-0.20407173600000011,0.04113682399999999,0.8634951780076507,0.06374008330846943,ns
b3559,-0.21155980199999908,-0.22597752799999954,-0.014417726000000464,0.8652803487339266,0.0628431593767616,ns
b3832,-0.36189784000000014,-0.40624555750000013,-0.044347717499999995,0.8654633695576042,0.06275130876565979,ns
